GeneID	log2FC	Padj	Entrez_gene_ID
CICLE_v10000026mg	-0.96198402954969	0.0408352907417974	18042740
CICLE_v10000062mg	0.938230044302119	0.0146809009781383	18040165
CICLE_v10000069mg	-1.53775125132245	8.55204037181787e-6	18042686
CICLE_v10000103mg	-0.787687153062561	0.0139989905138546	18042773
CICLE_v10000120mg	1.51135267023309	0.00199271720842133	18040840
CICLE_v10000198mg	1.65008645463128	5.42252276553724e-5	NA
CICLE_v10000217mg	0.842261122253922	0.0227246919150436	18043078
CICLE_v10000220mg	-0.747644875068286	0.033957070554277	18041814
CICLE_v10000235mg	-1.51721711462907	1.73940505940197e-4	18040650
CICLE_v10000254mg	1.02731909954187	0.026014713865164	18042296
CICLE_v10000256mg	1.02368471387126	0.00349075927531994	18041588
CICLE_v10000260mg	1.41810476702611	7.01296592553003e-4	18040789
CICLE_v10000273mg	-1.0375319976731	0.00696883768271136	18040690
CICLE_v10000281mg	0.882207976136037	0.0135673448126095	18042453
CICLE_v10000311mg	-0.883627158702531	0.0211162111031539	18042294
CICLE_v10000316mg	-0.923241628092212	0.0148152417146906	NA
CICLE_v10000323mg	1.15724318898555	0.00397015334869042	18040756
CICLE_v10000331mg	0.743058967861312	0.0427063520026499	NA
CICLE_v10000363mg	-0.874478410562887	0.00693061161633407	18040203
CICLE_v10000395mg	0.983520111155456	0.0163842332724657	18041101
CICLE_v10000407mg	-1.28318073383199	1.64771320495926e-4	18042498
CICLE_v10000412mg	-0.809846705937131	0.0344967007503598	18040295
CICLE_v10000444mg	1.56990258756855	0.012399590330832	18042514
CICLE_v10000464mg	2.63269320232437	0.00265943320016205	18042482
CICLE_v10000465mg	-1.44183794571375	0.00731407296640216	18040360
CICLE_v10000466mg	-1.45744028394165	3.22172469169527e-4	18041239
CICLE_v10000469mg	-0.803186780118748	0.0261208827409041	18041216
CICLE_v10000476mg	-1.10979661935249	0.00721976683429982	18041572
CICLE_v10000484mg	1.58453552101024	5.78339703029085e-5	NA
CICLE_v10000500mg	-1.26542551534185	0.00156514531936683	18043168
CICLE_v10000508mg	1.16696815305193	0.00176398706468821	18042164
CICLE_v10000532mg	-0.85039407556957	0.0214604571152632	18042095
CICLE_v10000576mg	1.26140442582915	0.0019599804220583	18042675
CICLE_v10000591mg	-1.10389532158097	7.20341910412485e-4	18042919
CICLE_v10000602mg	1.21069587818532	0.0258504934143944	NA
CICLE_v10000604mg	-0.902548535958369	0.0143703572003761	18041706
CICLE_v10000611mg	0.831482053348242	0.0337929334026845	18041947
CICLE_v10000613mg	1.28958259450783	0.00728626508455895	18041060
CICLE_v10000627mg	-0.845146174582007	0.0134871228654375	18040860
CICLE_v10000638mg	-1.77482536696193	0.0012934565733365	18042649
CICLE_v10000639mg	-1.56338608291043	0.0360999323895985	18040535
CICLE_v10000653mg	2.01223872151099	2.92414259323143e-5	NA
CICLE_v10000654mg	0.727138642913251	0.0425646398012921	18040837
CICLE_v10000742mg	1.1783214395944	0.00261795339516434	18041356
CICLE_v10000792mg	0.882426276907306	0.0314744732619428	NA
CICLE_v10000821mg	-0.727350959629929	0.0261739829562366	18042726
CICLE_v10000844mg	2.1110737068682	0.00315446753335081	18042868
CICLE_v10000845mg	1.28153791937927	1.05851217871754e-4	18041198
CICLE_v10000846mg	2.25801130733479	0.0011074465930906	18041531
CICLE_v10000848mg	-2.48729503259512	1.46758235728347e-7	18040739
CICLE_v10000852mg	0.869085549594238	0.0275897365206301	18040403
